Encrypt | Shift: 4 | Input: aashir | Output: eewlmv
Decrypt | Shift: 4 | Input: eewlmv | Output: aashir
Encrypt | Shift: 3 | Input: aashir | Output: ddvklu
Decrypt | Shift: 3 | Input: aashir | Output: xxpefo
Decrypt | Shift: 3 | Input: aashir | Output: xxpefo
Decrypt | Shift: 3 | Input: aashir | Output: xxpefo
Encrypt | Shift: 3 | Input: aashir | Output: ddvklu
Decrypt | Shift: 3 | Input: aashir | Output: xxpefo
Encrypt | Shift: 7 | Input: hello | Output: olssv
Decrypt | Shift: 7 | Input: hello | Output: axeeh
Encrypt | Shift: 6 | Input: god | Output: muj
Decrypt | Shift: 6 | Input: god | Output: aix
Encrypt | Shift: 23 | Input: doctor | Output: alzqlo
Encrypt | Shift: 5 | Input: hello | Output: mjqqt
